Town,            Population, Country,            Page, Lat_Deg, Lat_Min, Lat_Dir, Lon_Deg, Lon_Min, Lon_Dir
Aasaer,          6700,       Kaotoonisland,      375,  36,      20,      N,       5,       45,      E
Adrar,           1081,       Thybaj,             362,  43,      40,      N,       4,       55,      E
Adrash,          1599,       Thybaj,             367,  42,      50,      N,       3,       40,      E
Ahvahn,          487,        Ozhvinmish,         394,  32,      10,      N,       9,       10,      W
Ahvahn,          1804,       Meznamish,          399,  31,      5,       N,       16,      10,      W
Ahvahni,         719,        Meznamish,          392,  33,      10,      N,       15,      10,      W
Ailuar,          449,        Reanaariabay,       372,  39,      15,      N,       5,       35,      E
Akak,            493,        Shynabyth,          356,  47,      30,      N,       0,       10,      E
Akat,            1302,       Drhokker,           362,  45,      35,      N,       4,       50,      E
Alaano,          478,        Privbolsianislands, 306,  37,      5,       N,       24,      35,      W
Almven,          4000,       Cosdol,             285,  50,      10,      N,       14,      5,       W
Almven,          1866,       Pelbrolenon,        308,  36,      0,       N,       18,      40,      W
Alnarma(Roshay), 3800,       Elosdesert,         310,  35,      35,      N,       13,      55,      W
Amnahni,         344,        Ahznomahn,          410,  28,      10,      N,       8,       15,      W
Andden,          445,        Elosdesert,         311,  38,      25,      N,       7,       30,      W
Andven,          4900,       Eldor,              293,  47,      5,       N,       17,      35,      W
Anfyrr,          444,        Skarrna,            370,  43,      10,      N,       8,       55,      E
Anmish,          378,        Ozhvinmish,         394,  32,      55,      N,       10,      15,      W
Anmish,          1044,       Zazahni,            400,  29,      45,      N,       12,      45,      W
Anowhahni,       1180,       Meznamish,          392,  31,      30,      N,       16,      0,       W
Anowhizh,        22200,      Ozhvinmish,         394,  32,      25,      N,       9,       30,      W
Anowmish,        407,        Ozhvinmish,         402,  29,      25,      N,       7,       40,      W
Anowmish,        481,        Ahznomahn,          410,  28,      0,       N,       8,       35,      W
Ansyrr,          668,        Tharggy,            367,  42,      50,      N,       2,       45,      E
Apmish,          338,        Ahznomahn,          410,  27,      45,      N,       7,       10,      W
Apzhahni,        532,        Zazahni,            401,  29,      40,      N,       11,      10,      W
Ardarr-Norr,     16100,      Skarrna,            370,  42,      0,       N,       8,       55,      E
Aroroleta,       24100,      Dodera,             313,  38,      50,      N,       2,       10,      W
Ar'taban,        500,        Pekal,              347,  41,      45,      N,       5,       25,      E
Arun'kid,        153,        Kalamar,            322,  33,      55,      N,       0,       30,      W
Aryr,            354,        Khydobandesert,     374,  39,      30,      N,       11,      15,      E
Ashakulagh,      6650,       Norga-Krangrel,     345,  42,      50,      N,       10,      30,      W
Ashon,           435,        Shynabyth,          356,  46,      25,      N,       0,       10,      W
Ashoshani,       88900,      Ozhvinmish,         393,  33,      30,      N,       12,      0,       W
Ashosmish,       975,        Meznamish,          392,  32,      25,      N,       15,      20,      W
Asmish,          927,        Ozhvinmish,         393,  33,      15,      N,       11,      45,      W
Asmish,          2184,       Zazahni,            409,  28,      15,      N,       10,      10,      W
Asvahn,          927,        Zazahni,            401,  28,      50,      N,       10,      40,      W
Asvahni,         778,        Ozhvinmish,         394,  33,      40,      N,       11,      25,      W
Athyf,           394,        Shynabyth,          356,  46,      35,      N,       0,       5,       W
Athyk,           661,        Khydobandesert,     371,  40,      45,      N,       11,      20,      E
Atoyd,           306,        Drhokker,           364,  45,      25,      N,       9,       0,       E
Atukk,           591,        Tharggy,            367,  42,      0,       N,       2,       40,      E
Avgeyd,          347,        Reanaariabay,       365,  44,      35,      N,       10,      55,      E
Avlden,          624,        Cosdol,             290,  46,      45,      N,       12,      35,      W
Ayden,           426,        Eldor,              294,  45,      20,      N,       14,      45,      W
Badaf,           523,        Thybaj,             367,  43,      15,      N,       4,       5,       E
Badden,          455,        Mendarn,            303,  38,      20,      N,       18,      0,       W
Baeeun,          633,        Fauteepeninsula,    378,  32,      25,      N,       5,       20,      E
Baethel,         7500,       Nanakaryforest,     373,  38,      10,      N,       8,       30,      E
Baexour,         467,        Counaiheights,      319,  36,      55,      N,       4,       30,      E
Bagasi,          354,        Privbolsianislands, 306,  35,      55,      N,       23,      20,      W
Bah,             379,        Paru'bor,           344,  45,      0,       N,       3,       0,       W
Bahunido,        1350,       Tokis,              312,  38,      30,      N,       4,       40,      W
Baimuum,         605,        Nanakaryforest,     373,  38,      15,      N,       9,       20,      E
Bairuim,         555,        Reanaariabay,       372,  39,      55,      N,       6,       30,      E
Baka'ido,        937,        Kalamar,            318,  34,      25,      N,       0,       30,      E
Bakk,            694,        Torakk,             356,  48,      20,      N,       1,       45,      E
Bako,            594,        Slen,               340,  48,      50,      N,       2,       10,      W
Bakowido,        1219,       Kalamar,            322,  33,      10,      N,       0,       10,      W
Balelido,        6400,       Tarisato,           326,  30,      35,      N,       2,       15,      E
Balidu,          717,        Kalamar,            322,  32,      25,      N,       0,       15,      E
Balven,          1666,       Eldor,              299,  42,      50,      N,       16,      0,       W
Bamidu,          675,        Kalamar,            321,  33,      50,      N,       1,       40,      W
Baneta,          16000,      Pekal,              346,  40,      30,      N,       6,       10,      W
Bapuwido,        1184,       Dodera,             366,  41,      25,      N,       0,       20,      W
Bar,             370,        Kalamar,            322,  32,      20,      N,       1,       0,       E
Barido,          5300,       Ek'kasel,           342,  44,      30,      N,       7,       15,      W
Bariun,          488,        Fauteeforest,       378,  33,      15,      N,       5,       25,      E
Bashon,          1112,       Shynabyth,          340,  47,      55,      N,       0,       45,      W
Basidu,          875,        Kalamar,            322,  31,      50,      N,       0,       20,      E
Basidu,          433,        Kalamar,            322,  32,      40,      N,       1,       50,      E
Batidu,          591,        Paru'bor,           347,  42,      50,      N,       4,       20,      E
Batullagh,       7900,       Tarisato,           329,  28,      10,      N,       4,       25,      E
Bavfarr,         495,        Skarrna,            364,  44,      55,      N,       8,       25,      E
Baxoor,          873,        Fauteepeninsula,    378,  32,      0,       N,       6,       30,      E
Bebapidu,        578,        Paru'bor,           344,  45,      15,      N,       2,       20,      W
Bebeta,          8100,       Dodera,             314,  38,      10,      N,       0,       30,      W
Bebotido,        1873,       Paru'bor,           344,  44,      50,      N,       2,       25,      W
Beden,           552,        Mendarn,            304,  39,      25,      N,       17,      10,      W
Bedethidu,       834,        Kalamar,            325,  30,      30,      N,       2,       10,      E
Bedibido,        2759,       Kalamar,            316,  35,      10,      N,       4,       25,      W
Bedido,          1568,       Basir,              316,  35,      0,       N,       5,       45,      W
Bedidu,          479,        Kalamar,            322,  33,      15,      N,       1,       15,      E
Begidu,          448,        Paru'bor,           344,  44,      0,       N,       2,       55,      W
Bekk,            419,        Drhokker,           363,  45,      10,      N,       5,       45,      E
Bekurra,         1401,       Tharggy,            367,  41,      25,      N,       2,       55,      E
Beliwidu,        563,        Tarisato,           329,  28,      20,      N,       3,       20,      E
Benido,          1494,       Tokis,              312,  39,      5,       N,       4,       25,      W
Benidu,          556,        Kalamar,            318,  36,      25,      N,       0,       35,      E
Bepido,          2263,       Kalamar,            322,  33,      30,      N,       0,       5,       W
Bepidu,          844,        Kalamar,            322,  33,      25,      N,       0,       25,      W
Bepikal,         397,        Pekal,              347,  40,      25,      N,       5,       30,      E
Besafidu,        408,        Kalamar,            325,  30,      45,      N,       1,       20,      E
Besven,          994,        Eldor,              294,  44,      45,      N,       15,      10,      W
Betbireli,       10600,      O'par,              348,  42,      55,      N,       0,       50,      E
Betdodera,       17900,      Dodera,             366,  40,      40,      N,       0,       5,       E
Betkalamar,      310000,     Kalamar,            325,  31,      20,      N,       0,       0,       W
Betkasel,        10300,      Ek'kasel,           346,  42,      55,      N,       8,       0,       W
Betregor,        23300,      Paru'bor,           344,  44,      50,      N,       2,       25,      W
Betrogala,       20900,      Pekal,              347,  42,      10,      N,       4,       45,      E
Betseder,        47800,      Tokis,              312,  39,      25,      N,       4,       20,      W
Beturala,        53300,      Basir,              315,  35,      30,      N,       6,       20,      W
